관서명,구분,살인,강도,강간·강제추행,절도,폭력
광주지방경찰청계,발생건수,9,33,725,4816,8366
광주지방경찰청계,검거건수,9,32,732,3487,7553
광주지방경찰청계,검거인원,10,61,824,3046,11018
광주지방경찰청계,구속,8,28,71,115,88
광주지방경찰청계,불구속,0,26,523,2493,5235
광주지방경찰청계,기타,2,7,230,438,5695
광주지방경찰청,발생건수,0,0,0,0,0
광주지방경찰청,검거건수,0,1,91,0,37
광주지방경찰청,검거인원,0,1,105,0,149
광주지방경찰청,구속,0,0,17,0,7
광주지방경찰청,불구속,0,1,53,0,69
광주지방경찰청,기타,0,0,35,0,73
광주동부경찰서,발생건수,3,5,77,624,1090
광주동부경찰서,검거건수,3,5,70,470,953
광주동부경찰서,검거인원,4,4,76,483,1538
광주동부경찰서,구속,2,3,2,19,9
광주동부경찰서,불구속,0,1,57,395,801
광주동부경찰서,기타,2,0,17,69,728
광주서부경찰서,발생건수,0,7,196,1142,2293
광주서부경찰서,검거건수,0,7,172,708,2065
광주서부경찰서,검거인원,0,23,188,708,2971
광주서부경찰서,구속,0,8,6,20,31
광주서부경찰서,불구속,0,15,123,582,1356
광주서부경찰서,기타,0,0,59,106,1584
광주남부경찰서,발생건수,0,4,68,577,898
광주남부경찰서,검거건수,0,4,51,522,799
광주남부경찰서,검거인원,0,5,47,363,1107
광주남부경찰서,구속,0,2,1,18,1
광주남부경찰서,불구속,0,2,29,271,591
광주남부경찰서,기타,0,1,17,74,515
광주북부경찰서,발생건수,3,5,215,1546,2176
광주북부경찰서,검거건수,3,5,204,1127,1997
광주북부경찰서,검거인원,3,6,260,898,2863
광주북부경찰서,구속,3,4,39,33,22
광주북부경찰서,불구속,0,0,159,730,1314
광주북부경찰서,기타,0,2,62,135,1527
광주광산경찰서,발생건수,3,12,169,927,1909
광주광산경찰서,검거건수,3,10,144,660,1702
광주광산경찰서,검거인원,3,22,148,594,2390
광주광산경찰서,구속,3,11,6,25,18
광주광산경찰서,불구속,0,7,102,515,1104
광주광산경찰서,기타,0,4,40,54,1268
