관서명,구분,살인,강도,강간·강제추행,절도,폭력
광주지방경찰청계,발생건수,17,47,701,6052,8599
광주지방경찰청계,검거건수,18,47,713,4242,7631
광주지방경찰청계,검거인원,21,54,758,3455,10747
광주지방경찰청계,구속,14,25,37,132,57
광주지방경찰청계,불구속,3,25,491,2862,5267
광주지방경찰청계,기타,4,4,230,461,5423
광주동부경찰서,발생건수,3,8,83,832,1142
광주동부경찰서,검거건수,3,7,70,679,1002
광주동부경찰서,검거인원,4,10,71,543,1497
광주동부경찰서,구속,2,2,3,17,7
광주동부경찰서,불구속,0,7,50,460,773
광주동부경찰서,기타,2,1,18,66,717
광주서부경찰서,발생건수,2,11,174,1417,2288
광주서부경찰서,검거건수,3,11,158,963,1994
광주서부경찰서,검거인원,3,13,169,894,2874
광주서부경찰서,구속,3,6,7,22,18
광주서부경찰서,불구속,0,4,92,749,1301
광주서부경찰서,기타,0,3,70,123,1555
광주남부경찰서,발생건수,1,4,64,768,1028
광주남부경찰서,검거건수,1,4,54,544,883
광주남부경찰서,검거인원,1,5,55,348,1198
광주남부경찰서,구속,1,4,2,12,2
광주남부경찰서,불구속,0,1,38,264,599
광주남부경찰서,기타,0,0,15,72,597
광주북부경찰서,발생건수,6,7,205,1788,2142
광주북부경찰서,검거건수,5,8,158,1156,1906
광주북부경찰서,검거인원,6,10,178,933,2700
광주북부경찰서,구속,3,6,1,50,13
광주북부경찰서,불구속,2,4,135,759,1402
광주북부경찰서,기타,1,0,42,124,1285
광주광산경찰서,발생건수,5,17,175,1247,1999
광주광산경찰서,검거건수,5,17,147,898,1798
광주광산경찰서,검거인원,6,16,147,723,2382
광주광산경찰서,구속,4,7,14,31,7
광주광산경찰서,불구속,1,9,85,620,1125
광주광산경찰서,기타,1,0,48,72,1250
